# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.update.unloaded.entities.ms,1767720809603000000,1767720869611000000,0
workspaceModel.pre.handlers.ms,1767720809603000000,1767720869611000000,0
workspaceModel.to.snapshot.ms,1767720809603000000,1767720869611000000,2
workspaceModel.loading.total.ms,1767720809603000000,1767720869611000000,486
workspaceModel.updates.precise.ms,1767720809603000000,1767720869611000000,47
workspaceModel.updates.ms,1767720809603000000,1767720869611000000,99
workspaceModel.initializing.ms,1767720809603000000,1767720869611000000,16
workspaceModel.init.bridges.ms,1767720809603000000,1767720869611000000,16
workspaceModel.replace.project.model.ms,1767720809603000000,1767720869611000000,0
workspaceModel.check.recursive.update.ms,1767720809603000000,1767720869611000000,0
workspaceModel.collect.changes.ms,1767720809603000000,1767720869611000000,0
workspaceModel.updates.count,1767720809603000000,1767720869611000000,5
workspaceModel.loading.from.cache.ms,1767720809603000000,1767720869611000000,457
FilePageCacheLockFree.totalPagesHandedOver,1767720809603000000,1767720869611000000,0
FilePageCacheLockFree.nativeBytesInUse,1767720809603000000,1767720869611000000,57344
FilePageCacheLockFree.housekeeperTimeSpentMs,1767720809603000000,1767720869611000000,138
FilePageCacheLockFree.totalPagesWriteMs,1767720809603000000,1767720869611000000,0
FilePageCacheLockFree.totalBytesRequested,1767720809603000000,1767720869611000000,368640
FilePageCacheLockFree.totalPagesRequested,1767720809603000000,1767720869611000000,45
FilePageCache.pageLoads,1767720809603000000,1767720869611000000,295
FilePageCache.pageHits,1767720809603000000,1767720869611000000,3
DirectByteBufferAllocator.disposed,1767720809603000000,1767720869611000000,0
FilePageCache.disposedBuffers,1767720809603000000,1767720869611000000,27
MappedFileStorage.totalTimeSpentOnMappingUs,1767720809603000000,1767720869611000000,840
FilePageCacheLockFree.totalPagesAllocated,1767720809603000000,1767720869611000000,7
DirectByteBufferAllocator.reclaimed,1767720809603000000,1767720869611000000,27
StreamlinedBlobStorage.recordsAllocated,1767720809603000000,1767720869611000000,79925
FilePageCache.capacityInBytes,1767720809603000000,1767720869611000000,503316478
DirectByteBufferAllocator.hits,1767720809603000000,1767720869611000000,27
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1767720809603000000,1767720869611000000,0
FilePageCache.totalPageDisposalsUs,1767720809603000000,1767720869611000000,3758
FileChannelInterruptsRetryer.totalRetriedAttempts,1767720809603000000,1767720869611000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1767720809603000000,1767720869611000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1767720809603000000,1767720869611000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1767720809603000000,1767720869611000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1767720809603000000,1767720869611000000,1200777
MappedFileStorage.storages,1767720809603000000,1767720869611000000,10
FilePageCacheLockFree.totalPageAllocationsWaited,1767720809603000000,1767720869611000000,0
FilePageCacheLockFree.totalPagesReclaimed,1767720809603000000,1767720869611000000,0
FilePageCache.uncachedFileAccess,1767720809603000000,1767720869611000000,192
FilePageCache.pageFastCacheHits,1767720809603000000,1767720869611000000,6022
FilePageCacheLockFree.housekeeperTurnsSkipped,1767720809603000000,1767720869611000000,37935
FilePageCache.totalPageLoadsUs,1767720809603000000,1767720869611000000,188513
FilePageCacheLockFree.totalHeapBytesAllocated,1767720809603000000,1767720869611000000,0
StreamlinedBlobStorage.recordsDeleted,1767720809603000000,1767720869611000000,188
MappedFileStorage.totalPagesMapped,1767720809603000000,1767720869611000000,10
FilePageCacheLockFree.totalPagesRequestsMs,1767720809603000000,1767720869611000000,4
StreamlinedBlobStorage.recordsRelocated,1767720809603000000,1767720869611000000,0
FilePageCache.maxCacheSizeInBytes,1767720809603000000,1767720869611000000,278937600
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1767720809603000000,1767720869611000000,278994944
DirectByteBufferAllocator.misses,1767720809603000000,1767720869611000000,275
